CÓDIGO,DESCRIÇÃO,DT_INI,DT_FIM,TIPO,CONTA SUPERIOR,NÍVEL,NATUREZA,ORIENTAÇÕES,Voltar Indice
1.01.10.01.75,( - ) Subconta – Ajuste a Valor Presente (AVP) -  Ativos Biológicos Pelo Valor Justo - Circulante,01012015,,A,1.01.10.01,5,1,"Contas que registram contrapartidas dos ajustes a valor presente efetuados sobre os passivos decorrentes de compras a prazo dos ativos. Referidos valores serão apropriados ao resultado pelo regime de competência e adicionados ao Lucro Real. Concomitante controle ocorrerá nesta subconta até a revenda  ou baixa do ativo, quando valor do AVP poderá ser excluído do Lucro Real do período (art.5º, Lei nº 12.973/2014). Detalhes sobre a contabilização estão descritos no Anexo I, exemplo 4,  Instrução Normativa SRF Nº 1.515/2014). Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 33, §3º, Instrução Normativa SRF nº 1.515/2014)",
1.01.10.01.90,Subconta – Adoção Inicial -  Ativo Biologico,01012015,,A,1.01.10.01,5,1,"Contas que registram as diferenças positivas ou negativas, na data da adoção dos efeitos da Lei nº 12.973/2014, entre o valor do ativo mensurado de acordo as disposições da Lei nº 6.404/1976 e o valor mensurado pelos métodos e critérios vigentes em 31/12/2007(arts. 66/67, Lei nº 12.973/2014). Referidos valores  deverão ser computados na apuração  Lucro Real à medida da realização do bem, (arts. 164 e 167,  Instrução Normativa SRF Nº 1.515/2014, cujos detalhes sobre a contabilização estão descritos em seu Anexo I,  exemplos 1/2). Conforme disciplinado art. 169, § 9ª, Instrução Normativa SRF nº 1.515/2014, cada subconta de adoção inicial deve registrar individualmente a diferença de valor identificada em cada ativo.  Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 169, §6º, Instrução Normativa SRF nº 1.515/2014)",
1.01.10.02,ATIVO BIOLÓGICO AVALIADO PELO CUSTO - CIRCULANTE,01012015,,S,1.01.10,4,1,,
1.01.10.02.01,Ativo Biológico Consumível - Origem Animal - Pelo Custo,01012015,,A,1.01.10,5,1,"Contas que registram, nas empresas com atividade rural,  os  ativos biológicos consumíveis de origem animal, nos casos em que não seja possível mensurá-los ao valor justo, somente no reconhecimento inicial, devido a indisponibilidade de cotação de mercado e as alternativas não são, claramente, confiáveis. A pessoa jurídica que tenha mensurado previamente o ativo biológico ao seu valor justo, menos a despesa de venda, continuará a mensurá-lo assim até a sua venda. Nos termos do item 44 do CPC 29, seriam aqueles passíveis de serem colhidos como produto agrícola ou vendidos como ativos biológicos, como rebanhos de animais mantidos para a produção de carne, rebanhos mantidos para a venda, produção de peixe etc. Os produtos agrícolas devem receber classificação de estoques.",
1.01.10.02.02,Ativo Biológico Consumível - Origem Vegetal - Pelo Custo,01012015,,A,1.01.10.02,5,1,"Contas que registram, nas empresas com atividade rural,  os  ativos biológicos consumíveis de origem animal, nos casos em que não seja possível mensurá-los ao valor justo, somente no reconhecimento inicial, devido a indisponibilidade de cotação de mercado e as alternativas não são, claramente, confiáveis. A pessoa jurídica que tenha mensurado previamente o ativo biológico ao seu valor justo, menos a despesa de venda, continuará a mensurá-lo assim até a sua venda. Nos termos do item 44 do CPC 29, seriam aqueles passíveis de serem colhidos como produto agrícola ou vendidos como ativos biológicos, como plantações de milho, cana-de-açúcar, soja, árvores para produção de madeira etc. Os produtos agrícolas devem receber classificação de estoques.",
1.01.10.02.55,( - ) Perdas  por Redução ao Valor Recuperável (Impairment) -  Ativos Biológicos Consumível - Pelo Custo,01012015,,A,1.01.10.02,5,1,"Contas que registram as perdas estimadas com base em evidências objetivas impactantes no fluxo de caixa futuros estimados destes ativos biológicos. Esta conta também registra as eventuais reversões. Referidos valores deverão ser adicionados ao Lucro Real, mantidos na Parte B do Lalur até ocorrência da alienação ou baixa do ativo, quando poderão ser excluídos do Lucro Real(art. 32, Lei nº 12.973/2014).",
1.01.10.02.75,( - ) Subconta – Ajuste a Valor Presente (AVP) -  Ativos Biológicos Consumíveis - Pelo Custo ,01012015,,A,1.01.10.02,5,1,"Contas que registram contrapartidas dos ajustes a valor presente efetuados sobre os passivos decorrentes de compras a prazo dos ativos. Referidos valores serão apropriados ao resultado pelo regime de competência e adicionados ao Lucro Real. Concomitante controle ocorrerá nesta subconta até a revenda  ou baixa do ativo, quando valor do AVP poderá ser excluído do Lucro Real do período (art.5º, Lei nº 12.973/2014). Detalhes sobre a contabilização estão descritos no Anexo I, exemplo 4,  Instrução Normativa SRF nº 1.515/2014). Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 33, §3º, Instrução Normativa SRF nº 1.515/2014)",
1.01.11,ATIVO NÃO CIRCULANTE MANTIDO PARA VENDA,01012015,,S,1.01,3,1,,
1.01.11.01,ATIVO NÃO CIRCULANTE MANTIDO PARA VENDA,01012015,,S,1.01.11,4,1,,
1.01.11.01.01,Ativo Não Circulante Mantido Para Venda,01012015,,A,1.01.11.01,5,1,"Contas que registrem valores de ativos não circulantes mantidos para venda ou destinados a ser distribuídos aos sócios. Nos termos do CPC 31, regra geral, devem ser mensurados pelo menor entre o valor contábil até então registrado e o valor justo menos as despesas de venda/distribuição. Os subsequentes reconhecimentos de depreciações ou amortizações devem cessar enquanto mantidos nesta classificação. Caso ativo ou grupo de ativos for adquirido como parte de combinação de negócios e já receber esta classificação, deve ser mensurado pelo valor justo menos as despesas de venda. Não ocorrendo a venda e não mais presentes os critérios para integrar este grupo, os ativos devem deixá-lo mensurados ao valor mais baixo entre seu valor contábil antes desta classificação, ajustados por qualquer depreciação ou amortização que deixou de ocorrer durante o prazo desta classificação, e seu montante recuperável nesta data. ",
1.01.11.01.55,(-) Perdas por Redução ao Valor Recuperável (Impairment) - Ativo Não Circulante Mantido para Venda,01012015,,A,1.01.11.01,5,1,"Contas que registram as perdas estimadas com base em evidências objetivas  que demonstrem a não recuperabilidade do valor contábil do ativo ou grupo de ativos. Esta conta também registra as eventuais reversões. Referidos valores deverão ser adicionados ao Lucro Real, mantidos na Parte B do eLalur até ocorrência da alienação ou baixa do ativo, quando poderão ser excluídos do Lucro Real(art. 32, Lei nº 12.973/2014).",
1.01.11.01.70,Subconta - Ajuste a Valor Justo – Ativo Não Circulante Mantido para Venda,01012015,,A,1.01.11.01,5,1,"Contas que registram os ajustes a valor justo negativos efetuados sobre os ativos não circulantes mantidos para venda, inclusive decorrentes apenas de sua mensuração inicial. Nos acasos em que se apliquem dedução das despesas de vendas ao valor justo, este registro deve ocorrer pelo montante líquido. Referidos valores  deverão ser computados na apuração  Lucro Real quando da alienação ou baixa do ativo(arts. 41/47,  Instrução Normativa SRF nº 1.515/2014, cujos detalhes sobre a contabilização estão descritos em seu Anexo I,  exemplos 5/6). Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 33, §3º, Instrução Normativa SRF nº 1.515/2014)",
1.01.11.01.75,( - ) Subconta – Ajuste a Valor Presente (AVP) -  Ativo Não Circulante Mantido para Venda,01012015,,A,1.01.11.01,5,1,"Contas que registram contrapartidas dos ajustes a valor presente efetuados sobre os passivos decorrentes de compras a prazo de estoques. Referidos valores serão apropriados ao resultado pelo regime de competência e adicionados ao Lucro Real. Concomitante controle ocorrerá nesta subconta até a revenda da mercadoria, quando valor do AVP poderá ser excluído do Lucro Real do período (art.5º, Lei nº 12.973/2014). Detalhes sobre a contabilização estão descritos no Anexo I, exemplo 4,  Instrução Normativa SRF nº 1.515/2014). Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 33, §3º, Instrução Normativa SRF nº 1.515/2014)",
1.01.11.01.90,Subconta – Adoção Inicial -  Ativo Não circulante Mantido para Venda,01012015,,A,1.01.11.01,5,1,"Contas que registram as diferenças positivas ou negativas, na data da adoção dos efeitos da Lei nº 12.973/2014, entre o valor do ativo mensurado de acordo as disposições da Lei nº 6.404/1976 e o valor mensurado pelos métodos e critérios vigentes em 31/12/2007(arts. 66/67, Lei nº 12.973/2014). Referidos valores  deverão ser computados na apuração  Lucro Real à medida da realização do bem, (arts. 164 e 167,  Instrução Normativa SRF nº 1.515/2014, cujos detalhes sobre a contabilização estão descritos em seu Anexo I,  exemplos 1/2). Conforme disciplinado art. 169, § 9ª, Instrução Normativa SRF nº 1.515/2014, cada subconta de adoção inicial deve registrar individualmente a diferença de valor identificada em cada ativo.  Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 169, §6º, Instrução Normativa SRF nº 1.515/2014)",
1.02,ATIVO NÃO CIRCULANTE,01012015,,S,1,2,1,,
1.02.01,REALIZÁVEL A LONGO PRAZO,01012015,,S,1.02,3,1,,
1.02.01.01,CRÉDITOS E VALORES - LONGO PRAZO,01012015,,S,1.02.01,4,1,,
1.02.01.01.01,Clientes - Longo Prazo,01012015,,A,1.02.01.01,5,1,"Contas que registram os valores a receber de clientes. Recebe esta classificação no longo prazo, independente se decorrentes de operações  com ou não partes relacionadas,  no país ou exterior.",
1.02.01.01.02,Mútuos com Partes Não Relacionadas  - Ativo- Longo Prazo,01012015,,A,1.02.01.01,5,1,"Contas que registram a empréstimos efetuados a partes não relacionadas com a declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12, seja sediada no país ou exterior.  Juros e encargos decorrentes também devem ser registrados nesta conta.",
1.02.01.01.03,Mútuos com Partes Relacionadas - Ativo - Longo Prazo,01012015,,A,1.02.01.01,5,1,"Contas que registram empréstimos efetuados a partes relacionadas com a declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12, seja sediada no país ou exterior.  Juros e encargos decorrentes também devem ser registrados nesta conta.",
1.02.01.01.04,Adiantamento para Futuro Aumento de Capital - Ativo - Longo Prazo,01012015,,A,1.02.01.01,5,1,Contas que registram valores de adiantamento para futuro aumento de capital.,
1.02.01.01.07,Títulos Patrimoniais Avaliados pelo Custo - Longo Prazo,01012015,,A,1.02.01.01,5,1,"Contas que registram os títulos patrimoniais, participações societárias, avaliados pelo custo de aquisição, quando o valor justo não puder ser aplicado por ausência de informações confiáveis.",
1.02.01.01.09,Contraprestação Contingente Ativa - Combinação de Negócios – Longo Prazo,01012015,,A,1.02.01.01,5,1,"Contas que registram a contraprestação contingente ativa, em uma combinação de negócios. Em termos gerais, constitui cláusula contratual que confere ao adquirente o direito de reaver parte da contraprestação já transferida, se certas condições específicas venham a ocorrer. Para fins de gerar efeito sobre tratamento fiscal das parcelas integrantes do custo de aquisição de participação societária, deve-se observar os arts. 110/111, Instrução Normativa SRF nº 1.515/2014 .",
1.02.01.01.10,Outros Valores Mobiliários - No Exterior - Longo Prazo,01012015,,A,1.02.01.01,5,1,"Contas que registram os créditos a receber no exterior, que não possuem classificação adequada no grupo 1.02.01.03. Na data de migração do valor para o Circulante deve-se observar se há conta específica para melhor classificação.",
1.02.01.01.19,(-) Outras Contas Retificadoras – Créditos e Valores - Longo Prazo,01012015,,A,1.02.01.01,5,1,Contas que registram parcelas a serem subtraídas do Ativo Não Circulante que não possam ser classificadas em outras contas desse plano de contas.,
1.02.01.01.20,Direitos Creditórios Cedidos –Longo Prazo,01012015,,A,1.02.01.01,5,1,"Contas que registram os recebíveis que foram negociados em processos de securitização, ou assemelhando, enquanto não baixados. Já a securitizadora deve registrar os recebíveis em Direitos Creditórios a Receber(1.01.02.09.25)",
1.02.01.01.21,(-) Deságio na Cessão de Títulos–Longo Prazo,01012015,,A,1.02.01.01,5,1,"Contas que registram o deságio em recebíveis que foram negociados em processos de securitização, ou assemelhando, enquanto não baixados.",
1.02.01.01.25,Direitos Creditórios a Receber–Longo Prazo,01012015,,A,1.02.01.01,5,1,Contas que registram os direitos creditórios adquiridos por empresa que exerça atividade de securitização ou assemelhantada.,
1.02.01.01.26,Duplicatas a Receber – Operações com Partes Não Relacionadas - no País – Longo Prazo,01012015,,A,1.02.01.01,5,1,"Contas que registram os valores a receber de clientes no país de longo prazo, não relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intenção de venda os títulos. ",
1.02.01.01.27,Duplicatas a Receber - Operações com Partes Não Relacionadas - no Exterior – Longo Prazo,01012015,,A,1.02.01.01,5,1,"Contas que registram os valores a receber de clientes no exterior de longo prazo, não relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intenção de venda os títulos.  ",
1.02.01.01.28,Duplicatas a Receber - Operações com Partes Relacionadas - no País – Longo Prazo,01012015,,A,1.02.01.01,5,1,"Contas que registram os valores a receber de clientes no país de longo prazo, relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intenção de venda os títulos. ",
1.02.01.01.29,Duplicatas a Receber - Operações com Partes Relacionadas - no Exterior – Longo Prazo,01012015,,A,1.02.01.01,5,1,"Contas que registram os valores a receber de clientes no exterior de longo prazo, relacionados com a declarante conforme conceito definido no CPC 05(R1), itens 09 a 12, mesmo que haja imediata intenção de venda os títulos.  ",
1.02.01.01.50,(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) -  Créditos –Longo Prazo,01012015,,A,1.02.01.01,5,1,"Contas que registram os ajustes a valor presente efetuados sobre os créditos a longo prazo, sua contrapartida não deve ser excluída da Receita Bruta do período, mas compor uma dedução, art. 12, Decreto-Lei nº 1.598/1977(conta referencial 3.01.01.01.02.10). Referidos valores serão apropriados ao resultado pelo regime de competência e excluídos do Lucro Real. Não devem ser controlados em subcontas, mas na Parte B do e-Lalur, sendo seu montante adicionado ao Lucro Real no mesmo período em a receita ou resultado da operação deva ser tributada (art.4º, Lei nº 12.973/2014).",
1.02.01.01.52,(-) Perdas Estimadas em Créditos de Liquidação Duvidosa – Longo Prazo,01012015,,A,1.02.01.01,5,1,"Contas que registram parcelas a serem subtraídas, correspondentes a valores das perdas estimadas para os créditos de liquidação duvidosa. ",
1.02.01.01.55,(-) Perdas por Redução ao Valor Recuperável (Impairment) - Créditos e Valores - Longo Prazo,01012015,,A,1.02.01.01,5,1,"Contas que registram as perdas incorridas com base em evidências objetivas passadas, mas posteriores ao reconhecimento inicial, impactantes no fluxo de caixa futuros estimados desses ativos financeiros. O registro e dedutibilidade no Lucro Real deve observar os regramentos dispostos nos arts. 24/25, Instrução Normativa SRF nº 1.515/2014",
1.02.01.01.70,Subconta - Ajuste a Valor Justo - Créditos –Longo Prazo,01012015,,A,1.02.01.01,5,1,"Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os ativos financeiros, inclusive decorrentes apenas de sua mensuração inicial. . Referidos valores  deverão ser computados na apuração  Lucro Real quando da alienação ou baixa do ativo(arts. 49/50,  Instrução Normativa SRF nº 1.515/2014, cujos detalhes sobre a contabilização estão descritos em seu Anexo I,  exemplos 5/6). Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 33, §3º, Instrução Normativa SRF nº 1.515/2014)",
1.02.01.01.90,Subconta – Adoção Inicial -  Créditos e Valores – Longo Prazo,01012015,,A,1.02.01.01,5,1,"Contas que registram as diferenças positivas ou negativas, na data da adoção dos efeitos da Lei nº 12.973/2014, entre o valor do ativo mensurado de acordo as disposições da Lei nº 6.404/1976 e o valor mensurado pelos métodos e critérios vigentes em 31/12/2007(arts. 66/67, Lei nº 12.973/2014). Referidos valores  deverão ser computados na apuração  Lucro Real à medida da realização do bem, (arts. 164 e 167,  Instrução Normativa SRF nº 1.515/2014, cujos detalhes sobre a contabilização estão descritos em seu Anexo I,  exemplos 1/2). Conforme disciplinado art. 169, § 9ª, Instrução Normativa SRF nº 1.515/2014, cada subconta de adoção inicial deve registrar individualmente a diferença de valor identificada em cada ativo.  Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 169, §6º, Instrução Normativa SRF nº 1.515/2014)",
1.02.01.02,TÍTULOS E VALORES MOBILIÁRIOS  - NO PAÍS,01012015,,S,1.02.01,4,1,,
1.02.01.02.01,Títulos para Negociação - No País - Longo Prazo,01012015,,A,1.02.01.02,5,1,"Contas que registram ativos financeiros, utilizados em operações de hedge ou não, cuja contraparte ou ambiente negocial tenham sede ou domicílio no país, sobre os quais há a intenção de negociação no curto prazo ou se a mensuração pelo valor justo diminuir ou eliminar alguma inconsistência de mensuração de acordo com a gestão financeira da empresa (fair value option) e ainda não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76",
1.02.01.02.02,Títulos Disponíveis para Venda - No País - Longo Prazo,01012015,,A,1.02.01.02,5,1,"Contas que registram ativos financeiros, utilizados em operações de hedge ou não, cuja contraparte ou ambiente negocial tenham sede ou domicílio no país, sobre os quais não há definição de quando nem quais condições vai negociá-los e ainda não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Contrapartida das alterações no seu valor justo, bem como custos de transação, devem ser reconhecidos no Patrimônio Líquido até a realização do ativo.",
1.02.01.02.03,Títulos Mantidos até o Vencimento - No País - Longo Prazo,01012015,,A,1.02.01.02,5,1,"Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicílio no país, com pagamentos fixos ou determináveis e com vencimento fixo, para os quais há a intenção e a capacidade de se manter até o vencimento e ainda não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Esses títulos são avaliados pelo método de custo amortizado, com os custos de transação capitalizados ao valor do ativo. Ações e outros títulos patrimoniais não devem receber esta classificação. Títulos públicos e de renda fixa constumam receber esta classificação.",
1.02.01.02.10,Debêntures emitidas por Partes Relacionada - No País - Longo Prazo,01012015,,A,1.02.01.02,5,1,"Contas que registram as debêntures de longo prazo emitidas por empresas com sede no país, relacionadas com a declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12. Independente da base de mensuração utilizada ou se tais Valores Mobiliários poderiam ser classificáveis em outras contas mais genéricas de ativos financeiros.",
1.02.01.02.11,Debêntures emitidas por Partes Não Relacionada - No País - Longo Prazo,01012015,,A,1.02.01.02,5,1,"Contas que registram as debêntures de longo prazo emitidas por empresas com sede no país, não relacionadas com a declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12. Independente da base de mensuração utilizada ou se tais Valores Mobiliários poderiam ser classificáveis em outras contas mais genéricas de ativos financeiros.",
1.02.01.02.14,Outros Valores Mobiliários – No País - Longo Prazo,01012015,,A,1.02.01.02,5,1,"Contas que registram outros valores mobiliários de longo prazo, cuja contraparte tenha sede ou domicílio   no país, e que não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. ",
1.02.01.02.15,Outros Empréstimos e Recebíveis – No País - Longo Prazo,01012015,,A,1.02.01.02,5,1,"Contas que registram outros empréstimos e recebíveis de longo prazo, cuja contraparte tenha sede ou domicílio   no país, e que não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Registram-se neste grupo ativos financeiros com pagamentos fixos ou determináveis não cotados em um mercado ativo. Esses títulos são avaliados pelo método de custo amortizado, com os custos de transação capitalizados ao valor do ativo. Instrumentos financeiros representativos da indenização, decorrente da exploração de serviços públicos, constumam receber esta classificação(item 22, OCPC05).",
1.02.01.02.16,Outros Juros a Receber – No País - Longo Prazo,01012015,,A,1.02.01.02,5,1,"Contas que registram outros juros a receber de longo prazo, cuja contraparte tenha sede ou domicílio   no país, e que não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. ",
1.02.01.02.50,(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) Valores Mobiliários – No País - Longo Prazo,01012015,,A,1.02.01.02,5,1,"Contas que registram os ajustes a valor presente efetuados sobre os créditos a longo prazo. Referidos valores serão apropriados ao resultado pelo regime de competência e excluídos do Lucro Real. Não devem ser controlados em subcontas, mas na Parte B do Lalur, sendo seu montante adicionado ao Lucro Real no mesmo período em a receita ou resultado da operação deva ser tributada (art.4º, Lei nº 12.973/2014).",
1.02.01.02.55,(-) Perdas por Redução ao Valor Recuperável (Impairment) - Valores Mobiliários - No País - Longo Prazo,01012015,,A,1.02.01.02,5,1,"Contas que registram as perdas incorridas com base em evidências objetivas passadas, mas posteriores ao reconhecimento inicial, impactantes no fluxo de caixa futuros estimados desses ativos financeiros. Os títulos para negociação não estão sujeitos a teste de “impairment”. Esta conta também registra as eventuais reversões, não se admitindo para títulos patrimoniais. Referidos valores deverão ser adicionados ao Lucro Real, mantidos na Parte B do Lalur até ocorrência da alienação ou baixa do ativo, quando poderão ser excluídos do Lucro Real (art. 32, Lei nº 12.973/2014).",
1.02.01.02.70,Subconta - Ajuste a Valor Justo – Valores Mobiliários – No País - Longo Prazo,01012015,,A,1.02.01.02,5,1,"Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os ativos financeiros no país, inclusive decorrentes apenas de sua mensuração inicial ou efetuados nos objetos de hedge de valor justo. Os títulos para negociação e disponíveis para venda devem seguir a mensuração pelo valor justo até sua baixa. Referidos valores  deverão ser computados na apuração  Lucro Real quando da alienação ou baixa do ativo(arts. 49/53,  Instrução Normativa SRF nº 1.515/2014, cujos detalhes sobre a contabilização estão descritos em seu Anexo I,  exemplos 5/6). Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 33, §3º, Instrução Normativa SRF nº 1.515/2014)",
1.02.01.02.90,Subconta – Adoção Inicial - Valores Mobiliários -  No País – Longo Prazo,01012015,,A,1.02.01.02,5,1,"Contas que registram as diferenças positivas ou negativas, na data da adoção dos efeitos da Lei nº 12.973/2014, entre o valor do ativo mensurado de acordo as disposições da Lei nº 6.404/1976 e o valor mensurado pelos métodos e critérios vigentes em 31/12/2007(arts. 66/67, Lei nº 12.973/2014). Referidos valores  deverão ser computados na apuração  Lucro Real à medida da realização do bem, (arts. 164 e 167,  Instrução Normativa SRF nº 1.515/2014, cujos detalhes sobre a contabilização estão descritos em seu Anexo I,  exemplos 1/2). Conforme disciplinado art. 169, § 9ª, Instrução Normativa SRF nº 1.515/2014, cada subconta de adoção inicial deve registrar individualmente a diferença de valor identificada em cada ativo.  Apenas no caso da conta contábil que registra o ativo consolidar vários itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razão auxiliar vinculado à ECD(art. 169, §6º, Instrução Normativa SRF nº 1.515/2014)",
1.02.01.03,TÍTULOS E VALORES MOBILIÁRIOS  - NO EXTERIOR,01012015,,S,1.02.01,4,1,,
1.02.01.03.01,Títulos para Negociação - No Exterior - Longo Prazo,01012015,,A,1.02.01.03,5,1,"Contas que registram ativos financeiros, utilizados em operações de hedge ou não, cuja contraparte ou ambiente negocial tenham sede ou domicílio no exterior, sobre os quais há a intenção de negociação no curto prazo ou se a mensuração pelo valor justo diminuir ou eliminar alguma inconsistência de mensuração de acordo com a gestão financeira da empresa (fair value option) e ainda não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76.",
1.02.01.03.02,Títulos Disponíveis para Venda - No Exterior - Longo Prazo,01012015,,A,1.02.01.03,5,1,"Contas que registram ativos financeiros, utilizados em operações de hedge ou não, cuja contraparte ou ambiente negocial tenham sede ou domicílio no exterior, sobre os quais não há definição de quando nem quais condições vai negociá-los e ainda não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Contrapartida das alterações no seu valor justo, bem como custos de transação, devem ser reconhecidos no Patrimônio Líquido até a realização do ativo.",
1.02.01.03.03,Títulos Mantidos até o Vencimento - No Exterior - Longo Prazo,01012015,,A,1.02.01.03,5,1,"Contas que registram ativos financeiros, cuja contraparte ou ambiente negocial tenham sede ou domicílio no exterior, com pagamentos fixos ou determináveis e com vencimento fixo, para os quais há a intenção e a capacidade de se manter até o vencimento e ainda não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Esses títulos são avaliados pelo método de custo amortizado, com os custos de transação capitalizados ao valor do ativo. Ações e outros títulos patrimoniais não devem receber esta classificação. Títulos públicos e de renda fixa constumam receber esta classificação.",
1.02.01.03.04,Debêntures emitidas por Partes Relacionada – No Exterior - Longo Prazo,01012015,,A,1.02.01.03,5,1,"Contas que registram as debêntures de longo prazo emitidas por empresas com sede no exterior, relacionadas com a declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12. Independente da base de mensuração utilizada ou se tais Valores Mobiliários poderiam ser classificáveis em outras contas mais genéricas de ativos financeiros.",
1.02.01.03.05,Debêntures emitidas por Partes Não Relacionada - No Exterior - Longo Prazo,01012015,,A,1.02.01.03,5,1,"Contas que registram as debêntures de longo prazo emitidas por empresas com sede no exterior, não relacionadas com a declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12. Independente da base de mensuração utilizada ou se tais Valores Mobiliários poderiam ser classificáveis em outras contas mais genéricas de ativos financeiros.",
1.02.01.03.06,Outros Empréstimos e Recebíveis – No Exterior - Longo Prazo,01012015,,A,1.02.01.03,5,1,"Contas que registram outros empréstimos e recebíveis de longo prazo, cuja contraparte tenha sede ou domicílio   no exterior, e que não estejam melhor classificados em outras contas mais específica, mesmo que extrapolem o conceito da Lei nº 6.385/76. Registram-se neste grupo ativos financeiros com pagamentos fixos ou determináveis não cotados em um mercado ativo. Esses títulos são avaliados pelo método de custo amortizado, com os custos de transação capitalizados ao valor do ativo. Instrumentos financeiros representativos da indenização, decorrente da exploração de serviços públicos, constumam receber esta classificação(item 22, OCPC05).",
1.02.01.03.50,(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) Valores Mobiliários – No Exterior - Longo Prazo,01012015,,A,1.02.01.03,5,1,"Contas que registram os ajustes a valor presente efetuados sobre os créditos a longo prazo. Referidos valores serão apropriados ao resultado pelo regime de competência e excluídos do Lucro Real. Não devem ser controlados em subcontas, mas na Parte B do Lalur, sendo seu montante adicionado ao Lucro Real no mesmo período em a receita ou resultado da operação deva ser tributada (art.4º, Lei nº 12.973/2014), sem prejuízo observância aos arts.  9º a 12 da Instrução Normativa SRF nº 213/2002.",
1.02.01.03.55,(-) Perdas por Redução ao Valor Recuperável (Impairment) - Valores Mobiliário - No Exterior - Longo Prazo,01012015,,A,1.02.01.03,5,1,"Contas que registram as perdas incorridas com base em evidências objetivas passadas, mas posteriores ao reconhecimento inicial, impactantes no fluxo de caixa futuros estimados desses ativos financeiros. Os títulos para negociação não estão sujeitos a teste de “impairment”. Esta conta também registra as eventuais reversões, não se admitindo para títulos patrimoniais. Referidos valores deverão ser adicionados ao Lucro Real, mantidos na Parte B do Lalur até ocorrência da alienação ou baixa do ativo, quando poderão ser excluídos do Lucro Real (art. 32, Lei nº 12.973/2014), sem prejuízo observância aos arts.  9º a 12 da Instrução Normativa SRF nº 213/2002.",
